entity_id,company_name,domain,score,score_reasons,final_industry,final_employee_count,country,contact_name,contact_title,email,hiring_now,recent_funding_months_ago,tech_signals,revenue_band,enrichment_status,enrichment_reason,enrichment_attempts,source_record_count,source_row_numbers
thicketgaminggroup-com,Thicket Gaming Group Co.,thicketgaminggroup.com,80,ideal_employee_range;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Gaming,320,India,,,info@thicket.com,True,26,"azure,aws,stripe,hubspot",$1M-$10M,success,,1,3,"134,385,8"
tidelinefinance-com,Tideline Finance Co.,tidelinefinance.com,80,ideal_employee_range;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Pharmaceuticals,140,United Kingdom,,,info@tideline.com,True,,"snowflake,salesforce,python,gcp",$10M-$50M,success,,1,5,"247,304,469,397,460"
zephyrdronesholdin-com,ZEPHYR DRONES HOLDINGS LTD.,zephyrdronesholdin.com,80,ideal_employee_range;active_hiring_signal;recent_funding;valid_contact_email;valid_domain,Energy,320,Canada,,,info@zephyr.com,True,7,,$10M-$50M,success,,1,1,287
zephyrdronesintern-com,ZEPHYR DRONES INTERNATIONAL,zephyrdronesintern.com,80,ideal_employee_range;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Gaming,140,Canada,,,info@zephyr.com,True,,"aws,kubernetes",$10M-$50M,success,,2,2,"10,210"
quillsoftwaregroup-com,Quill Software Group Co,quillsoftwaregroup.com,77,large_company;active_hiring_signal;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain,Gaming,4200,,,,info@quill.com,True,3,"salesforce,kubernetes",<$1M,success,,1,1,201
birchfurniturepart-com,Birch Furniture Partners Corp,birchfurniturepart.com,75,ideal_employee_range;target_industry;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Software,140,Australia,,,info@birch.com,False,,"segment,python,react",$50M-$250M,success,,1,2,"418,450"
foxgloveenergyglob-com,"Foxglove,Energy Global Ltd.",foxgloveenergyglob.com,75,ideal_employee_range;target_industry;recent_funding;valid_contact_email;valid_domain,Education,750,United States,,,info@foxglove.com,False,3,,$250M+,success,,1,1,318
ironwoodagritechgl-com,ironwood agritech global co.,ironwoodagritechgl.com,75,ideal_employee_range;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain,Hospitality,140,CA,,,info@ironwood.com,True,,salesforce,$250M+,success,,1,1,449
onyxminingholdings-com,Onyx Mining Holdings Inc.,onyxminingholdings.com,75,ideal_employee_range;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain,Energy,750,United States,,,info@onyx.com,True,,"salesforce,react,snowflake",$10M-$50M,success,,1,1,435
petalcosmeticsglob-com,Petal Cosmetics Global,petalcosmeticsglob.com,75,ideal_employee_range;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain,Insurance,140,U.S.A.,,,info@petal.com,True,,"react,aws,datadog",$250M+,success,,2,1,220
pinecrestmediaglob-com,PINECREST MEDIA GLOBAL INC,pinecrestmediaglob.com,75,small_company;target_industry;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain,Education,8,United States,,,info@pinecrest.com,True,14,"python,kubernetes",<$1M,success,,2,1,472
pinecrestmediahold-com,Pinecrest Media Holdings Co.,pinecrestmediahold.com,75,ideal_employee_range;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain,Logistics,320,United States,,,info@pinecrest.com,True,,"segment,react,kubernetes",$50M-$250M,success,,1,1,408
quillsoftware-com,Quill Software Co.,quillsoftware.com,75,ideal_employee_range;target_industry;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Retail,1500,Germany,,,info@quill.com,False,,"azure,snowflake",$10M-$50M,success,,1,2,"123,255"
quillsoftwarepartn-com,Quill Software Partners,quillsoftwarepartn.com,75,ideal_employee_range;target_industry;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Healthcare,1500,DE,,,info@quill.com,False,,python,$50M-$250M,success,,2,2,"54,288"
saffronspicesinter-com,"Saffron,Spices International Incorporated",saffronspicesinter.com,75,ideal_employee_range;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain,Energy,750,Germany,,,info@saffron.com,True,,"datadog,python",<$1M,success,,2,1,480
xenonlabs-com,Xenon Labs Co,xenonlabs.com,75,ideal_employee_range;target_industry;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Healthcare,60,United States,,,info@xenon.com,False,,azure,$250M+,success,,2,6,"14,119,136,216,221,254"
vantafoodsholdings-com,"Vanta,Foods Holdings Incorporated",vantafoodsholdings.com,74,large_company;target_industry;active_hiring_signal;relevant_tech_stack;valid_domain,Manufacturing,4200,India,,,,True,,"python,hubspot",$10M-$50M,success,,1,1,404
harborhealthglobal-com,"harbor,health global ltd.",harborhealthglobal.com,72,large_company;target_industry;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain,Retail,4200,Canada,,,info@harbor.com,False,3,"azure,salesforce,segment,aws",$50M-$250M,success,,1,1,268
saffronspicespartn-com,Saffron Spices Partners Co.,saffronspicespartn.com,72,large_company;active_hiring_signal;recent_funding;valid_contact_email;valid_domain;multiple_source_mentions,Insurance,4200,Australia,,,info@saffron.com,True,3,,$10M-$50M,success,,1,2,"109,231"
vantafoodsinternat-com,"Vanta,Foods International Inc.",vantafoodsinternat.com,72,large_company;target_industry;active_hiring_signal;valid_contact_email;valid_domain,Finance,4200,United States,,,info@vanta.com,True,14,,$10M-$50M,success,,1,1,274
anchormarineintern-com,anchor marine international ltd,anchormarineintern.com,70,ideal_employee_range;target_industry;relevant_tech_stack;valid_contact_email;valid_domain,Retail,1500,CA,,,info@anchor.com,False,26,azure,$10M-$50M,success,,1,1,202
birchfurnitureinte-com,Birch Furniture International Co.,birchfurnitureinte.com,70,small_company;target_industry;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Software,24,Germany,,,info@birch.com,False,3,python,<$1M,success,,1,2,"55,117"
cobalttelecom-com,Cobalt Telecom Inc.,cobalttelecom.com,70,ideal_employee_range;active_hiring_signal;valid_contact_email;valid_domain;multiple_source_mentions,Telecom,1500,United States,,,info@cobalt.com,True,14,"datadog,kubernetes",<$1M,success,,1,2,"282,291"
cobalttelecomgroup-com,"COBALT,TELECOM GROUP INC",cobalttelecomgroup.com,70,ideal_employee_range;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Media,1500,DE,,,info@cobalt.com,False,3,"salesforce,azure",<$1M,success,,1,3,"15,357,396"
driftapparelpartne-com,Drift Apparel Partners Incorporated,driftapparelpartne.com,70,small_company;active_hiring_signal;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain,Insurance,8,DE,,,info@drift.com,True,3,"salesforce,snowflake",<$1M,success,,1,1,92
driftapparel-com,"Drift,Apparel Incorporated",driftapparel.com,70,ideal_employee_range;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Insurance,140,United States,,,info@drift.com,False,7,"aws,hubspot,salesforce",$50M-$250M,success,,1,4,"51,52,175,424"
foxgloveenergy-com,Foxglove Energy Inc,foxgloveenergy.com,70,ideal_employee_range;active_hiring_signal;valid_contact_email;valid_domain;multiple_source_mentions,Energy,750,India,,,info@foxglove.com,True,14,,<$1M,success,,1,4,"135,223,345,486"
graniteinsurancegl-com,Granite Insurance Global Inc.,graniteinsurancegl.com,70,small_company;target_industry;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Healthcare,24,United Kingdom,,,info@granite.com,False,3,gcp,<$1M,success,,1,2,"26,384"
graniteinsurance-com,Granite Insurance LLC,graniteinsurance.com,70,ideal_employee_range;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Gaming,750,United Kingdom,,,info@granite.com,False,7,python,$10M-$50M,success,,1,3,"96,141,429"
junipermobilityhol-com,Juniper Mobility Holdings Corp,junipermobilityhol.com,70,small_company;target_industry;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Manufacturing,24,India,,,info@juniper.com,False,3,react,$10M-$50M,success,,1,4,"182,413,466,479"
junipermobilitypar-com,Juniper Mobility Partners Inc.,junipermobilitypar.com,70,ideal_employee_range;target_industry;relevant_tech_stack;valid_contact_email;valid_domain,Education,60,India,,,info@juniper.com,False,26,"stripe,azure,react",$10M-$50M,success,,1,1,61
kestrelsecurityint-com,Kestrel Security International Ltd.,kestrelsecurityint.com,70,small_company;target_industry;active_hiring_signal;valid_contact_email;valid_domain;multiple_source_mentions,Software,8,India,,,info@kestrel.com,True,,,<$1M,success,,1,2,"121,414"
petalcosmetics-com,Petal Cosmetics Incorporated,petalcosmetics.com,70,ideal_employee_range;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Construction,140,U.S.A.,,,info@petal.com,False,3,react,$1M-$10M,success,,1,3,"188,211,400"
pinecrestmedia-com,Pinecrest Media Incorporated,pinecrestmedia.com,70,ideal_employee_range;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Logistics,60,India,,,info@pinecrest.com,False,3,hubspot,$50M-$250M,success,,1,2,"137,181"
sterlingroboticspa-com,Sterling Robotics Partners Co,sterlingroboticspa.com,70,small_company;active_hiring_signal;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain,Construction,8,India,,,info@sterling.com,True,3,gcp,$50M-$250M,success,,1,1,124
xenonlabsholdings-com,XENON LABS HOLDINGS INCORPORATED,xenonlabsholdings.com,70,small_company;active_hiring_signal;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain,Media,24,,,,info@xenon.com,True,3,"gcp,azure",,success,,1,1,416
anchormarineholdin-com,Anchor Marine Holdings,anchormarineholdin.com,67,large_company;active_hiring_signal;recent_funding;valid_contact_email;valid_domain,Media,4200,India,,,info@anchor.com,True,3,snowflake,<$1M,success,,1,1,333
emberhospitalitygl-com,EMBER HOSPITALITY GLOBAL LTD,emberhospitalitygl.com,67,large_company;target_industry;recent_funding;valid_contact_email;valid_domain;multiple_source_mentions,Finance,4200,Australia,,,info@ember.com,False,3,,$250M+,success,,1,3,"43,105,324"
mosaicpaymentshold-com,Mosaic Payments Holdings Ltd,mosaicpaymentshold.com,67,ideal_employee_range;active_hiring_signal;relevant_tech_stack;valid_domain,Construction,750,Australia,,,,True,14,"gcp,snowflake,salesforce,react",$250M+,success,,1,1,301
nimbuscloudglobal-com,Nimbus Cloud Global Co,nimbuscloudglobal.com,67,ideal_employee_range;target_industry;relevant_tech_stack;valid_domain;multiple_source_mentions,Software,750,U.S.A.,,,,False,,"gcp,hubspot,snowflake",$1M-$10M,success,,2,2,"4,296"
petalcosmeticshold-com,"PETAL,COSMETICS HOLDINGS INC",petalcosmeticshold.com,67,ideal_employee_range;active_hiring_signal;relevant_tech_stack;valid_domain,,320,United Kingdom,,,,True,,"react,salesforce,datadog,python",$250M+,success,,1,1,177
rivethardwaregroup-com,"Rivet,Hardware Group Ltd.",rivethardwaregroup.com,67,large_company;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Energy,4200,United Kingdom,,,info@rivet.com,True,14,"python,aws",$1M-$10M,success,,1,2,"230,250"
rivethardwareinter-com,"Rivet,Hardware International Incorporated",rivethardwareinter.com,67,large_company;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Hospitality,4200,Australia,,,info@rivet.com,True,14,"snowflake,gcp,datadog",<$1M,success,,1,3,"163,363,422"
thicketgamingholdi-com,Thicket Gaming Holdings Inc,thicketgamingholdi.com,67,large_company;target_industry;recent_funding;valid_contact_email;valid_domain;multiple_source_mentions,Education,4200,CA,,,info@thicket.com,False,3,,$1M-$10M,success,,1,2,"162,321"
willowchildcareint-com,Willow Childcare International LLC,willowchildcareint.com,67,large_company;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Insurance,4200,DE,,,info@willow.com,True,26,"salesforce,kubernetes,gcp,datadog",$1M-$10M,success,,2,2,"12,196"
cedarsystemsgroup-com,cedar systems group ltd,cedarsystemsgroup.com,65,ideal_employee_range;target_industry;valid_contact_email;valid_domain;multiple_source_mentions,Manufacturing,60,,,,info@cedar.com,False,,snowflake,$10M-$50M,success,,1,2,"24,59"
foxgloveenergyhold-com,"Foxglove,Energy Holdings Corp",foxgloveenergyhold.com,65,ideal_employee_range;active_hiring_signal;valid_contact_email;valid_domain,Insurance,140,CA,,,info@foxglove.com,True,26,,$250M+,success,,1,1,366
halcyonpharmapartn-com,Halcyon Pharma Partners Co,halcyonpharmapartn.com,65,ideal_employee_range;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain,Energy,60,United Kingdom,,,info@halcyon.com,False,7,"aws,snowflake,segment",$250M+,success,,1,1,36
harborhealthpartne-com,HARBOR HEALTH PARTNERS INC,harborhealthpartne.com,65,ideal_employee_range;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain,Gaming,140,United States,,,info@harbor.com,False,3,"azure,stripe",$50M-$250M,success,,1,1,102
ironwoodagritechpa-com,Ironwood Agritech Partners Co,ironwoodagritechpa.com,65,ideal_employee_range;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain,Energy,140,United States,,,info@ironwood.com,False,3,"kubernetes,azure",$10M-$50M,success,,1,1,454
junipermobilityint-com,"Juniper,Mobility International Incorporated",junipermobilityint.com,65,ideal_employee_range;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain,,320,CA,,,info@juniper.com,False,7,"react,datadog,salesforce",$50M-$250M,success,,1,1,240
northwindlogistics-com,"northwind,logistics global inc",northwindlogistics.com,65,ideal_employee_range;target_industry;valid_contact_email;valid_domain;multiple_source_mentions,Software,140,India,,,info@northwind.com,False,26,,$10M-$50M,success,,1,14,"3,16,21,63,113,139,144,206,351,445,455,457,465,478"
petalcosmeticspart-com,"Petal,Cosmetics Partners LLC",petalcosmeticspart.com,65,ideal_employee_range;target_industry;valid_contact_email;valid_domain;multiple_source_mentions,Healthcare,140,United Kingdom,,,info@petal.com,False,,,,success,,1,3,"311,159,308"
sterlingrobotics-com,Sterling Robotics Corp,sterlingrobotics.com,65,ideal_employee_range;target_industry;valid_contact_email;valid_domain;multiple_source_mentions,Education,60,Australia,,,info@sterling.com,False,26,,<$1M,success,,1,6,"78,189,431,447,481,108"
willowchildcarepar-com,willow childcare partners co.,willowchildcarepar.com,65,ideal_employee_range;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain,Pharmaceuticals,140,India,,,info@willow.com,False,3,"snowflake,salesforce",$50M-$250M,success,,1,1,279
cobalttelecompartn-com,COBALT TELECOM PARTNERS INC,cobalttelecompartn.com,62,large_company;target_industry;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Retail,4200,,,,info@cobalt.com,False,,"python,datadog",$1M-$10M,success,,2,2,"72,157"
emberhospitalityho-com,Ember Hospitality Holdings Co.,emberhospitalityho.com,62,ideal_employee_range;target_industry;relevant_tech_stack;valid_domain,Retail,320,India,,,,False,,"react,hubspot",$10M-$50M,success,,1,1,277
mosaicpaymentspart-com,Mosaic Payments Partners Inc.,mosaicpaymentspart.com,62,large_company;target_industry;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Healthcare,4200,Canada,,,info@mosaic.com,False,,"gcp,azure,datadog,kubernetes",$1M-$10M,success,,1,3,"170,242,365"
willowchildcaregro-com,Willow Childcare Group Ltd,willowchildcaregro.com,62,ideal_employee_range;target_industry;relevant_tech_stack;valid_domain,Retail,1500,,,,,False,14,"datadog,salesforce,python,stripe",<$1M,success,,1,1,387
halcyonpharmagroup-com,"Halcyon,Pharma Group Inc.",halcyonpharmagroup.com,60,small_company;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Construction,8,Australia,,,info@halcyon.com,True,26,gcp,$50M-$250M,success,,1,4,"82,172,164,252"
ironwoodagritechgr-com,Ironwood Agritech Group Inc.,ironwoodagritechgr.com,60,small_company;target_industry;recent_funding;valid_contact_email;valid_domain;multiple_source_mentions,Education,24,United States,,,info@ironwood.com,False,7,stripe,$250M+,success,,1,2,"138,186"
